🚀 Servidor rodando na porta 3000
🌍 Ambiente: development
📊 Health check: http://localhost:3000/health
📱 Para simulador: http://192.168.1.204:3000/health
192.168.1.204 - - [15/Aug/2025:13:40:12 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:40:12 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/suppliers HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/terminals HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/suppliers HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:50:42 +0000] "GET /api/terminals HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:42 +0000] "POST /api/auth/login HTTP/1.1" 200 365 "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/terminals HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/terminals HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/suppliers HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/suppliers HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:59:44 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
